date,share of teams constituted as circles,share short tern leave,involuntary headcount change (FTE),reachability,count sessions on .projuventute.ch,count leads,net promoter score,private donations,additional monetization/savings from CRM,additional monetization/savings from programs
2023-06-01,107.81695747130658,2.63393400723641,2.4082607579380744,44.72076927204846,216568.92801382183,477.26806260196815,34.99840837978143,1299914.0472186194,-17539.236383513296,70235.33549596214
2023-05-01,117.52042621282077,2.01528112564054,1.1974451018141812,43.46826887278417,212597.07126031458,12.791127912411298,35.0002138163652,947880.7136871463,6523.670788089268,254620.75603879555
2023-12-01,58.40859210690236,0.9649385161639027,2.7880733810477123,45.30929157469524,221867.72819455137,639.688183269088,34.99789321395137,1228039.5443322258,14272.589224966618,6320.344821482948
2023-03-01,141.95869888142283,0.4772505552175168,2.1577858294662295,44.53176119368986,224642.26760841935,223.50815078157467,34.999635104265906,863886.1494298093,-4879.746950901047,-40596.864885174895
2023-10-01,76.41896762837698,1.7536575267726229,1.1695931423513688,44.44514013030981,189575.6719134782,578.3898840874455,35.00200670839585,783946.0827821232,-14385.892682638227,76547.56158029268
2023-10-01,121.64359714315367,1.6701409153372442,2.2105143133497087,44.48508152507661,202916.57404111483,603.0442670950483,34.999351766209024,1228490.4445072077,-379.42972778345575,163782.88746279437
2023-01-01,119.25674389830743,1.3241106796404043,1.566047809392399,43.295366675382674,217822.86834786832,878.230995013559,34.998505733734895,1848842.2591414533,11991.61168452074,67306.92317709769
2023-11-01,68.8477541033184,2.479264274961668,2.4644576892101613,43.318606868213635,221880.09891205674,207.89723408382423,34.998136463285725,1062750.374144509,-27412.964569952983,231750.09973325316
2023-09-01,115.26012040671324,1.3554459964321615,2.0102872406820986,45.41949865440619,226315.94321544364,272.54576219894403,34.9986442560809,1160515.4319523028,19188.08180106826,123615.87366916335
2023-08-01,96.61856077702933,1.4698859327769371,2.92594892437974,43.70204535550465,189458.40385548514,156.0253870909263,35.00274417245886,1192906.9516671624,-1539.6463657619597,246934.48106621846
2023-02-01,120.515691897419,3.573528018473495,2.1586999134479967,43.966778376684886,223772.0701033678,556.4983393667021,35.00222997064954,991070.5957036361,-1016.071622664771,31752.05661038826
2023-06-01,116.15596826992073,-0.19440192897729092,1.746959659409508,43.641581525994155,193535.54810287835,464.4429243829151,34.998370258070075,822212.3967269139,1477.5120367738136,132514.3151407779
2023-05-01,109.50399033677712,0.7809540126044039,1.6386504219068667,42.96430617028491,202505.76471661398,47.498034093866465,35.000931872123644,605202.354400223,-247.46905110694024,193282.70199092702
2023-08-01,111.22309443253843,2.318520235724754,1.3794693799429472,42.28934345206857,166548.47260331913,611.2860654154345,35.00165383374373,965713.7218310358,226.04945757934001,-2484.102424308505
2023-02-01,74.81997986485823,2.0895768158994845,1.3628813500650228,43.44729934709482,177583.8050544935,496.4250825500669,34.99900785739639,767056.7986648537,14680.768091658741,160646.0207412831
2023-02-01,118.43855813039102,-0.7764463241947162,1.3743899131799011,43.1026400416828,208540.40530836102,768.5282306762265,34.99778195631527,1060301.810776868,7989.104055841555,78329.31658859202
2023-04-01,72.7549855379875,1.9470721691226083,2.630459397692831,42.60634968199849,212028.11341443376,497.1712567685746,34.99903492259054,1076215.1926069264,-8352.74552112788,150208.7519827472
2023-08-01,83.47004160451446,1.7051553505683643,2.327701986535951,43.74189523864592,200685.02506829242,513.9009357196286,35.00136868243566,748075.1553308994,-26033.865674075867,164678.77734230546
2023-01-01,135.2619699466669,-0.6104438569420918,2.417885519979815,43.50360973779648,217958.07711822298,208.79181815665305,34.99911936391179,1096292.9194345057,-3925.4741885275143,2589.9052321925337
2023-09-01,124.51734013042892,3.706970765725077,2.5574414485129817,44.08422701877697,214969.9461646991,112.67126869007075,34.99799248666916,2014974.021679646,-6166.679138662895,-34033.93663017903
2023-04-01,63.73197534673068,0.628859303835279,2.684206131338331,46.02335130111913,217066.45606803522,568.303010252826,35.0020258749651,953724.432911135,4162.405295333236,38793.30012648576
2023-04-01,127.04563214537421,2.716081545522613,2.6259950162074865,45.256601279228036,160761.21781386956,120.32699367224978,35.00126370473549,1621746.180070946,26379.18661233005,171499.50934545207
2023-12-01,121.51558174835003,2.6269850499737304,0.7506163023437352,42.38353874113481,185756.4103393836,779.7141160992695,34.99916336515318,819095.9965451736,-22701.317063333856,279753.15492789936
2023-11-01,50.0122094942455,1.9891242668877198,2.6899730922510448,46.475214570415254,210175.4176652128,585.5265413027213,35.00181389714845,1340561.956973866,-8473.057030573513,-49132.532686796396
2023-05-01,110.88467039743736,2.487705469066995,2.813330344646707,44.22180938715337,188314.02287783753,713.4742628800208,34.99902215839255,1505071.2054212794,-12647.577994467429,174544.56256186147
